2026-02-20T16:22:39.712Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T17:36:44.991Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T17:46:34.607Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T17:56:34.854Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T18:06:34.495Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T18:16:34.718Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T18:26:34.563Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T18:36:34.658Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T18:46:34.575Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T18:56:34.751Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T18:57:41.956Z | Project: test-caller | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T19:06:35.366Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-21T20:13:09.270Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:13:10.827Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:27:58.322Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:27:59.383Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:30:38.157Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:30:39.322Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:32:44.769Z | Project: openai-client | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:33:17.533Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:33:19.638Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:36:15.482Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:36:16.767Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:36:48.741Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:37:00.974Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:37:10.257Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:39:37.460Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:39:44.525Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:40:05.488Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:40:12.490Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:40:24.007Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:40:36.890Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:40:42.538Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:41:07.866Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:41:11.251Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:41:20.794Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:41:24.618Z | Project: aiga | Model: gemini-3-flash-preview | Type: messages
2026-02-21T20:41:28.777Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:41:31.064Z | Project: openai-client | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:42:01.372Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:42:02.554Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:42:25.106Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:42:25.186Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:42:25.495Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:42:26.628Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:42:26.968Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:42:27.835Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:46:35.839Z | Project: openai-client | Model: gemini-flash-latest | Type: messages
2026-02-21T20:47:15.882Z | Project: aiga | Model: gemini-flash-latest | Type: messages
2026-02-21T20:47:17.481Z | Project: aiga | Model: gemini-flash-latest | Type: messages
2026-02-21T20:47:24.821Z | Project: aiga | Model: gemini-flash-latest | Type: messages
2026-02-21T20:47:26.781Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:47:33.228Z | Project: aiga | Model: gemini-flash-latest | Type: messages
2026-02-21T20:47:53.531Z | Project: aiga | Model: gemini-flash-latest | Type: messages
2026-02-21T20:50:28.807Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:50:52.053Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:50:52.406Z | Project: aiga | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:57:18.193Z | Project: anonymous | Model: llama-3.3-70b-versatile | Type: messages
2026-02-21T20:57:41.010Z | Project: anonymous | Model: llama-3.3-70b-versatile | Type: messages
2026-02-24T15:05:14.202Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-24T15:15:13.974Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-24T15:24:19.780Z | Project: aiga-system | Model: gemini-flash-latest | Type: prompt
2026-02-24T15:34:20.581Z | Project: aiga-system | Model: gemini-flash-latest | Type: prompt
2026-02-24T15:45:06.231Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-24T15:55:12.400Z | Project: aiga-system | Model: gemini-flash-latest | Type: prompt
2026-02-24T16:04:29.777Z | Project: aiga-system | Model: llama-3.3-70b-versatile | Type: prompt
2026-02-24T16:14:19.425Z | Project: aiga-system | Model: gemini-flash-latest | Type: prompt
2026-02-24T16:24:34.184Z | Project: aiga-system | Model: gemini-flash-latest | Type: prompt
2026-02-24T16:50:25.720Z | Project: aiga-system | Model: gemini-flash-latest | Type: prompt
2026-02-24T17:00:00.239Z | Project: aiga-system | Model: gemini-flash-latest | Type: prompt
